Model,Train_Accuracy,Test_Accuracy,Training_Time_s
Logistic Regression,0.5805369127516778,0.5473527218493661,2.005384683609009
Random Forest,0.9988814317673378,0.6204325130499627,4.766488790512085
Naive Bayes,0.412938105891126,0.40939597315436244,0.01190042495727539
